Background	Year	Meanfit	Stdfit
HK68	2010	-0.7368358538346147	0.0017600357545697488
HK68	2011	-0.7340807382235043	0.001371231872016741
HK68	2012	-0.737194534688606	0.0017978189300089952
HK68	2013	-0.7343148725505194	0.001966522714528936
HK68	2014	-0.7283038679043662	0.0011002251173493228
HK68	2015	-0.7276361277112093	0.0009027995278586382
HK68	2016	-0.6998573065383455	0.0013075007547842126
HK68	2017	-0.61638213401944	0.0015188567600461721
HK68	2018	-0.5859391816389766	0.0031315492550595095
HK68	2019	-1.0794252458649394	0.004262833957334335
HK68	2020	-1.3142716524802687	0.003070431402456768
Bk79	1968	0.16665898800041673	0.005136112779461967
Bk79	1969	0.06372580137619592	0.07431980966803889
Bk79	1970	-0.4685370635916065	0.02457703249118499
Bk79	1971	-0.460931691944109	0.03803433404781847
Bk79	1972	-0.2257122774654885	0.01745515913986946
Bk79	1973	-0.18843864685810702	0.0001115248806847685
Bk79	1974	-0.18817842213650923	0.0001585145630231109
Bk79	1975	-0.18821559709673744	0.00017035706920295673
Bk79	1976	-0.18796877659356412	0.0005158640567933543
Bk79	1977	-0.013467869409913695	0.013467869409913699
Bk79	1978	0.0	0.0
Bk79	1979	0.0	0.0
Bk79	1980	0.0	0.0
Bk79	1981	0.0	0.0
Bk79	1982	-0.11806375696415905	0.07959856870712968
Bk79	1983	-0.4722550278566362	0.14934015244932364
Bk79	1984	-0.7083825417849543	0.0
Bk79	1985	-0.7083825417849542	3.347448369359225e-17
Bk79	1986	-0.7083825417849543	0.0
Bk79	1987	-0.7083825417849542	4.965068306494546e-17
Bk79	1988	-0.6729493970867899	0.03543314469816447
Bk79	1989	-0.6847604453195114	0.02362209646544298
Bk79	1990	-0.6181890825532629	0.060503611790375375
Bk79	1991	-0.6314976923096327	0.0283049878744321
Bk79	1992	-0.42592659121795556	0.04409847405794608
Bk79	1993	-0.21231851601065174	8.204514385914629e-18
Bk79	1994	-0.19265674781235975	0.00727500139260881
Bk79	1995	-0.05240564602659437	0.007143429946240437
Bk79	1996	-0.08266402687482306	0.005313204130723021
Bk79	1997	-0.077628908413505	0.005925346797542881
Bk79	1998	-0.13559299431881844	0.014337483509173268
Bk79	1999	-0.13071844375611943	0.008477440440123721
Bk79	2000	-0.07402128044234571	0.0014057157867421715
Bk79	2001	-0.07446154035721451	0.002433015319011861
Bk79	2002	-0.0745921852825395	0.0015168326552082688
Bk79	2003	-0.07056207860877121	0.0015230115235581178
Bk79	2004	-0.07616830161554003	0.0021498390935845682
Bk79	2005	-0.07403816614441681	0.000995180862411514
Bk79	2006	-0.13770288103648806	0.005688599040000306
Bk79	2007	-0.2657833350636492	0.0029726655846569194
Bk79	2008	-0.2805935434655534	0.001583544718990652
Bk79	2009	-0.2800482048159661	0.0007663879061028758
Bk79	2010	-0.2918876280646221	0.001041429766506602
Bk79	2011	-0.2933914100997213	0.0006972548428381829
Bk79	2012	-0.2888201889644478	0.0009748193233169315
Bk79	2013	-0.2891437123729602	0.0011719646323897705
Bk79	2014	-0.2921535196248603	0.000650560754594393
Bk79	2015	-0.29294801123170655	0.0006577419201140066
